episode,worker_id,env_idx,reward,success,timeout,collisions,steps,salp0_reward,salp1_reward,salp2_reward,salp3_reward,salp4_reward,salp0_collisions,salp1_collisions,salp2_collisions,salp3_collisions,salp4_collisions,salp0_wall_hits,salp1_wall_hits,salp2_wall_hits,salp3_wall_hits,salp4_wall_hits
131,0,1,-398.061578774452,0,1,0,700,-397.49107882380486,0,0,-347.698187738657,0,0,-348.16022977232933,0,0,-348.57721814513206,0,0,-348.3811793923378,0,0
132,6,0,-1222.2651673725682,1,0,0,421,-79.62304763708795,0,0,-3329.266082048416,208,0,-479.05341935157776,18,0,-253.86252811551094,3,0,-2488.3779025673866,152,0
133,5,2,-412.86201689839396,0,1,0,700,-425.32802814245224,0,9,-348.23985263705254,0,0,-348.22889935970306,0,0,-348.7250719666481,0,0,-393.7882323861122,0,15
134,1,0,-827.2081720709797,0,1,0,700,-1172.2049724757671,0,259,-660.2300699949265,0,104,-681.6660536527634,22,1,-769.2161926627159,21,35,-652.7235715687275,8,61
135,1,1,-588.6678476393223,0,1,0,700,-402.5206347703934,0,1,-484.3937361240387,9,0,-958.6305077075958,29,58,-433.91342437267303,0,28,-463.8809352219105,7,3
136,4,0,-398.85813833475146,0,1,0,700,-398.6390999853611,0,0,-348.5581347644329,0,0,-348.90580439567566,0,0,-349.12113705277443,0,0,-349.06651547551155,0,0
137,1,2,-1099.1797010540963,0,1,0,700,-712.9269334077835,0,105,-806.7003220915794,27,19,-2447.7415279746056,140,0,-365.69574216008186,0,6,-962.8339796364307,41,0
138,5,0,-6343.249337482451,0,1,4,700,-401.986008644104,0,1,-1264.1451960504055,62,0,-9784.287263691425,630,0,-10069.120969682932,649,0,-9996.707249343395,644,1
139,4,1,-467.2282678663727,0,1,0,700,-564.1920110881329,11,0,-349.4438680112362,0,0,-430.67261385917664,0,28,-373.52662563323975,0,8,-418.3062207400799,0,23
140,6,2,-412.99030262231815,0,1,0,700,-399.3525115251541,0,0,-349.19779032468796,0,0,-349.44422325491905,0,0,-418.07709097862244,0,23,-348.8798970282078,0,0
141,6,3,-464.9517907798292,0,1,0,700,-399.0236832201481,0,0,-348.942029774189,0,0,-349.25986084342003,0,0,-543.959982573986,13,0,-483.57339748740196,9,0
142,5,1,-487.6390253722663,0,1,0,700,-398.39284294843674,0,0,-348.9698874056339,0,0,-349.5343915820122,0,0,-652.9856067895889,0,101,-488.3123981356621,0,46
143,7,1,-4043.966012531521,0,1,3,700,-399.27629792690277,0,0,-3529.142595022917,213,0,-9709.242922097445,625,0,-6033.797049313784,380,0,-348.37119829654694,0,0
144,7,3,-592.2993552565571,0,1,0,700,-837.7602826356888,15,71,-394.63667967915535,3,0,-694.6515060961246,23,0,-364.7710835337639,0,5,-469.67722433805466,6,10
145,5,1,247.3595295880522,1,0,0,4,247.35817076904434,0,0,-1.4982819259166718,0,0,-1.503023087978363,0,0,-1.4967449605464935,0,0,-1.491044282913208,0,0
146,7,3,245.7899560860225,1,0,0,6,245.77581127200807,0,0,-2.508786201477051,0,0,-2.504124402999878,0,0,-2.48763045668602,0,0,-2.4683469235897064,0,0
147,3,2,32.890978076628244,1,0,0,262,45.0919186260019,0,0,-130.06222069263458,0,0,-190.36034360527992,0,20,-130.38964787125587,0,0,-130.3962446451187,0,0
148,1,2,210.19536252277237,1,0,0,38,218.02864272253854,0,2,-42.10389280319214,0,8,-21.251669853925705,0,1,-24.149531453847885,0,2,-36.11816456913948,1,1
149,3,1,-412.3123290300368,0,1,0,700,-398.52708172798157,0,0,-348.48742440342903,0,0,-348.60895854234695,0,0,-348.42881709337234,0,0,-417.50936338305473,0,23
